iter	Passed	Remaining
1354	89465	29579
1355	89533	29514
1356	89598	29448
1357	89661	29380
1358	89729	29315
1359	89823	29258
1360	89909	29199
1361	89989	29137
1362	90058	29072
1363	90126	29006
1364	90191	28940
1365	90262	28875
1366	90341	28814
1367	90417	28751
1368	90498	28689
1369	90590	28631
1370	90665	28568
1371	90744	28506
1372	90831	28446
1373	90909	28384
1374	90987	28321
1375	91068	28260
1376	91143	28197
1377	91215	28132
1378	91300	28072
1379	91384	28011
1380	91454	27946
1381	91530	27882
1382	91609	27820
1383	91693	27759
1384	91775	27698
1385	91856	27636
1386	91929	27572
1387	92001	27507
1388	92064	27440
1389	92135	27375
1390	92218	27314
1391	92305	27254
1392	92394	27194
1393	92491	27137
1394	92585	27078
1395	92661	27015
1396	92731	26949
1397	92796	26883
1398	92872	26819
1399	92956	26758
1400	93033	26694
1401	93114	26632
1402	93187	26568
1403	93262	26503
1404	93343	26441
1405	93430	26381
1406	93523	26322
1407	93619	26264
1408	93712	26205
1409	93806	26146
1410	93884	26082
1411	93953	26016
1412	94027	25952
1413	94097	25886
1414	94166	25820
1415	94246	25758
1416	94334	25697
1417	94423	25636
1418	94514	25576
1419	94605	25516
1420	94683	25453
1421	94755	25388
1422	94835	25325
1423	94914	25261
1424	95003	25200
1425	95077	25136
1426	95163	25074
1427	95242	25011
1428	95325	24948
1429	95422	24889
1430	95520	24831
1431	95614	24771
1432	95699	24709
1433	95796	24650
1434	95881	24588
1435	95975	24528
1436	96061	24466
1437	96129	24400
1438	96213	24337
1439	96283	24271
1440	96356	24206
1441	96418	24138
1442	96490	24072
1443	96565	24007
1444	96639	23942
1445	96713	23877
1446	96792	23813
1447	96868	23748
1448	96946	23684
1449	97019	23619
1450	97088	23552
1451	97160	23487
1452	97236	23422
1453	97310	23357
1454	97387	23292
1455	97479	23231
1456	97572	23171
1457	97646	23105
1458	97730	23042
1459	97810	22978
1460	97880	22912
1461	97950	22846
1462	98034	22783
1463	98119	22720
1464	98194	22655
1465	98261	22588
1466	98351	22526
1467	98452	22467
1468	98526	22401
1469	98605	22337
1470	98676	22270
1471	98753	22206
1472	98833	22141
1473	98933	22082
1474	99009	22016
1475	99069	21948
1476	99140	21881
1477	99225	21818
1478	99327	21759
1479	99431	21700
1480	99519	21637
1481	99610	21575
1482	99715	21516
1483	99806	21454
1484	99883	21389
1485	99959	21323
1486	100053	21262
1487	100146	21200
1488	100234	21137
1489	100331	21076
1490	100409	21011
1491	100502	20949
1492	100593	20886
1493	100683	20824
1494	100754	20757
1495	100824	20690
1496	100897	20624
1497	100965	20557
1498	101048	20492
1499	101127	20427
1500	101208	20363
1501	101299	20300
1502	101390	20237
1503	101475	20173
1504	101547	20107
1505	101633	20043
1506	101731	19981
1507	101809	19916
1508	101882	19849
1509	101965	19785
1510	102043	19719
1511	102129	19655
1512	102219	19592
1513	102308	19529
1514	102391	19464
1515	102484	19401
1516	102581	19339
1517	102672	19276
1518	102758	19212
1519	102848	19148
1520	102932	19084
1521	103003	19017
1522	103070	18949
1523	103137	18881
1524	103200	18813
1525	103275	18746
1526	103372	18684
1527	103475	18622
1528	103565	18559
1529	103644	18493
1530	103726	18428
1531	103797	18361
1532	103866	18293
1533	103936	18226
1534	104009	18159
1535	104094	18094
1536	104170	18028
1537	104243	17961
1538	104312	17893
1539	104399	17829
1540	104487	17764
1541	104562	17698
1542	104637	17631
1543	104712	17565
1544	104800	17500
1545	104923	17441
1546	104990	17374
1547	105070	17308
1548	105154	17242
1549	105227	17175
1550	105295	17107
1551	105368	17040
1552	105435	16972
1553	105502	16904
1554	105580	16838
1555	105669	16774
1556	105761	16709
1557	105852	16645
1558	105931	16579
1559	106009	16513
1560	106098	16448
1561	106178	16382
1562	106263	16316
1563	106353	16252
1564	106432	16185
1565	106521	16121
1566	106608	16055
1567	106693	15990
1568	106775	15924
1569	106857	15858
1570	106947	15793
1571	107036	15728
1572	107112	15661
1573	107178	15593
1574	107259	15527
1575	107339	15460
1576	107420	15394
1577	107514	15329
1578	107587	15262
1579	107661	15195
1580	107727	15126
1581	107795	15058
1582	107877	14992
1583	107962	14926
1584	108056	14862
1585	108128	14794
1586	108210	14728
1587	108289	14661
1588	108373	14595
1589	108456	14529
1590	108556	14465
1591	108650	14400
1592	108743	14335
1593	108822	14268
1594	108917	14203
1595	109001	14137
1596	109088	14071
1597	109165	14004
1598	109253	13938
1599	109341	13872
1600	109428	13806
1601	109507	13739
1602	109587	13672
1603	109685	13608
1604	109786	13543
1605	109861	13476
1606	109935	13408
1607	110007	13340
1608	110091	13273
1609	110158	13205
1610	110235	13137
1611	110319	13071
1612	110418	13006
1613	110501	12939
1614	110597	12874
1615	110678	12807
1616	110762	12740
1617	110852	12674
1618	110951	12609
